2019/09/18 12:01:17   www.baidu.com  [consume:0.207]
2019/09/18 12:01:57   EzCurl www.baidu.com  [consume:0.174]
2019/09/18 12:03:20 EzCurl www.baidu.com  [consume:84.96 ms]
2019/09/18 12:03:25 EzCurl www.baidu.com  [consume:235.96 ms]
2019/09/18 12:03:27 EzCurl www.baidu.com  [consume:148.74 ms]
2019/09/18 12:03:54 EzCurl www.baidu.com  [consume:147.93 ms]
2019/09/18 12:04:06 EzCurl www.baidu.com  [consume:63.63 ms]
2019/10/23 17:16:04 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsure&nowPage=1&pageSize=20  [consume:452.13 ms]
2019/10/23 17:16:04 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=person&nowPage=1&pageSize=20  [consume:307.25 ms]
2019/10/23 17:16:05 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=team&nowPage=1&pageSize=20  [consume:392.44 ms]
2019/10/23 17:16:05 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=waitrenew&nowPage=1&pageSize=20  [consume:535.66 ms]
2019/10/23 17:16:06 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsign&nowPage=1&pageSize=20  [consume:250.63 ms]
2019/10/23 17:16:11 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unserve&nowPage=1&pageSize=20  [consume:5000.73 ms]
2019/10/23 17:16:17 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsure&nowPage=1&pageSize=20  [consume:371.23 ms]
